token	corpus size	all contexts size	frequency	co-frequency	specificity
esprit	193367	11995	739	370	238.11
sain	193367	11995	76	67	70.07
esprits	193367	11995	131	67	44.48
corps	193367	11995	176	65	32.49
critique	193367	11995	496	100	24.92
d'esprit	193367	11995	232	62	22.37
avoir	193367	11995	168	50	20.43
d'équipe	193367	11995	72	33	20.40
un	193367	11995	1598	194	18.39
carnet	193367	11995	22	18	17.98
mauvais	193367	11995	19	16	16.42
bel	193367	11995	14	13	14.58
malin	193367	11995	15	13	13.73
bon	193367	11995	63	24	12.87
prononciation	193367	11995	11	9	9.18
pur	193367	11995	19	11	8.63
ténèbres	193367	11995	7	7	8.45
qqc	193367	11995	7	7	8.45
ɛs	193367	11995	7	7	8.45
pʁi	193367	11995	7	7	8.45
personne	193367	11995	108	25	8.16
perdre	193367	11995	17	10	7.98
notre	193367	11995	214	37	7.96
reprendre	193367	11995	14	9	7.71
d'un	193367	11995	379	53	7.69
wikicode	193367	11995	18	10	7.66
l'esprit	193367	11995	1185	121	7.47
écouter	193367	11995	15	9	7.34
son	193367	11995	434	57	7.26
méton	193367	11995	12	8	7.08
bienheureux	193367	11995	9	7	6.95
l'escalier	193367	11995	17	9	6.70
ac	193367	11995	22	10	6.60
familier	193367	11995	7	6	6.43
adj	193367	11995	7	6	6.43
faux	193367	11995	19	9	6.18
soins	193367	11995	11	7	6.05
subst	193367	11995	5	5	6.04
follet	193367	11995	5	5	6.04
Être	193367	11995	32	11	5.76
mon	193367	11995	102	20	5.51
t	193367	11995	139	24	5.46
p	193367	11995	868	87	5.39
méd	193367	11995	6	5	5.29
brillant	193367	11995	6	5	5.29
clocher	193367	11995	6	5	5.29
anges	193367	11995	14	7	5.11
content	193367	11995	14	7	5.11
rude	193367	11995	10	6	5.03
revista	193367	11995	15	7	4.87
skill	193367	11995	46	12	4.85
attaché	193367	11995	4	4	4.83
es-tu	193367	11995	4	4	4.83
rencontrent	193367	11995	4	4	4.83
cet	193367	11995	118	20	4.57
saint	193367	11995	57	13	4.53
dérives	193367	11995	12	6	4.45
petit	193367	11995	29	9	4.42
mém	193367	11995	8	5	4.37
animaux	193367	11995	45	11	4.22
doux	193367	11995	13	6	4.20
maximes	193367	11995	13	6	4.20
vitaux	193367	11995	5	4	4.16
chateaubr	193367	11995	5	4	4.16
locutions	193367	11995	5	4	4.16
éclairé	193367	11995	5	4	4.16
citations	193367	11995	5	4	4.16
varias	193367	11995	5	4	4.16
souffle	193367	11995	54	12	4.12
célestes	193367	11995	19	7	4.08
expr	193367	11995	9	5	4.05
faible	193367	11995	9	5	4.05
dans	193367	11995	1871	153	3.99
accueil	193367	11995	84	15	3.86
grand	193367	11995	42	10	3.80
entretenir	193367	11995	10	5	3.77
revue	193367	11995	115	18	3.76
fort	193367	11995	35	9	3.74
saints	193367	11995	6	4	3.71
supposé	193367	11995	6	4	3.71
romains	193367	11995	6	4	3.71
basculer	193367	11995	6	4	3.71
mal	193367	11995	36	9	3.64
l'expression	193367	11995	22	7	3.64
l'initiale	193367	11995	3	3	3.62
vocalique	193367	11995	3	3	3.62
syn	193367	11995	3	3	3.62
biol	193367	11995	3	3	3.62
