item	total	count part-1	specif part-1	count part-2	specif part-2	count part-3	specif part-3
	1248791		979181		193367		76243
e	16369	16055	1243.07	300	-775.26	14	-419.38
o	14460	13616	610.36	816	-299.52	28	-344.09
i	14082	13958	1258.68	92	-863.07	32	-328.03
n	14038	13879	1203.83	157	-774.14	2	-380.68
0	13919	13862	1351.62	45	-925.74	12	-356.16
a	13910	13002	526.90	852	-256.56	56	-291.83
r	13360	13234	1181.41	112	-784.20	14	-337.28
x	13167	13087	1232.90	74	-824.50	6	-347.45
p	13008	12137	479.57	868	-209.17	3	-349.80
j	12787	12611	1054.18	157	-688.14	19	-313.23
t	12712	12560	1078.50	139	-704.53	13	-321.44
h	12597	12472	1104.57	124	-715.24	1	-343.53
u	12571	12545	1269.91	24	-866.53	2	-340.20
c	12544	12402	1075.14	140	-691.72	2	-339.45
v	12447	12384	1186.53	56	-800.96	7	-325.62
y	12407	12158	927.97	248	-566.59	1	-338.29
w	12377	12322	1193.30	54	-799.15	1	-337.46
k	12334	12274	1179.94	39	-821.37	21	-297.81
l	12288	12166	1077.25	113	-707.83	9	-317.30
m	12248	12018	934.15	205	-598.92	25	-289.36
f	12215	12128	1122.59	80	-747.83	7	-319.26
z	12193	12159	1213.50	33	-821.90	1	-332.38
g	12182	11989	971.95	189	-611.35	4	-324.75
s	12156	12009	1028.85	143	-661.42	4	-324.03
q	12032	11999	1198.50	31	-813.87	2	-325.34
d	11984	11861	1044.70	121	-676.45	2	-324.02
b	11887	11789	1071.57	96	-702.28	2	-321.34
de	9512	369	-5502.14	9136	6822.20	7	-245.41
1	8879	8363	375.57	395	-241.21	121	-110.59
la	8846	3350	-1479.51	5496	2173.36	0	-242.91
2	6864	6381	239.39	347	-162.98	136	-60.83
3	6813	6450	310.27	262	-211.01	101	-79.71
5	6651	6434	411.92	153	-284.90	64	-102.86
6	6505	6332	440.45	101	-325.99	72	-93.16
4	6257	5996	338.86	165	-249.91	96	-71.24
7	6184	6045	445.20	87	-319.70	52	-102.09
